Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE
combination_1_ABCD,A (δ13C coll),10,KNN,A,δ13C coll,0.6225498501498502,2.8897470457902728
combination_1_ABCD,A (δ13C coll),10,SVM,A,δ13C coll,0.7154974433123897,3.321943438192883
combination_1_ABCD,A (δ13C coll),10,RandomForest,A,δ13C coll,0.6123019255744251,2.844981289402006
combination_1_ABCD,A (δ13C coll),10,KNN,AB,δ13C coll_δ15N coll,0.7080804695304692,3.3227001264277143
combination_1_ABCD,A (δ13C coll),10,SVM,AB,δ13C coll_δ15N coll,0.7862153082715906,3.690029666758421
combination_1_ABCD,A (δ13C coll),10,RandomForest,AB,δ13C coll_δ15N coll,0.756533481518481,3.558784748171515
combination_1_ABCD,A (δ13C coll),10,KNN,AC,δ13C coll_δ13C carb,0.6472207042957043,3.0011679005546137
combination_1_ABCD,A (δ13C coll),10,SVM,AC,δ13C coll_δ13C carb,0.7053393686357172,3.271196761288054
combination_1_ABCD,A (δ13C coll),10,RandomForest,AC,δ13C coll_δ13C carb,0.6506290484515469,3.0220597756648115
combination_1_ABCD,A (δ13C coll),10,KNN,AD,δ13C coll_δ18O carb,0.6210927822177823,2.8848009738894187
combination_1_ABCD,A (δ13C coll),10,SVM,AD,δ13C coll_δ18O carb,0.7146265250301725,3.3227758324652976
combination_1_ABCD,A (δ13C coll),10,RandomForest,AD,δ13C coll_δ18O carb,0.6813837662337683,3.189817934277733
combination_1_ABCD,A (δ13C coll),10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,0.7401548201798201,3.4837951154134337
combination_1_ABCD,A (δ13C coll),10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,0.7639399528857151,3.5849249921729536
combination_1_ABCD,A (δ13C coll),10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,0.7798340809190811,3.677671509810209
combination_1_ABCD,A (δ13C coll),10,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,0.7110984765234762,3.334620490257952
combination_1_ABCD,A (δ13C coll),10,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,0.77078799410859,3.6098266933359384
combination_1_ABCD,A (δ13C coll),10,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,0.731081431068933,3.436409162575528
combination_1_ABCD,A (δ13C coll),10,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,0.6526937062937066,3.023291493175015
combination_1_ABCD,A (δ13C coll),10,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,0.6905868696452258,3.1908752984780926
combination_1_ABCD,A (δ13C coll),10,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,0.6238341633366618,2.8905127526783945
combination_1_ABCD,A (δ13C coll),10,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.7298332917082914,3.4269952229243956
combination_1_ABCD,A (δ13C coll),10,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.7382383922182475,3.4620903700698955
combination_1_ABCD,A (δ13C coll),10,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.7196188786213797,3.372290276403659
combination_1_ABCD,A (δ13C coll),15,KNN,A,δ13C coll,0.5964127272727271,2.7881071768336723
combination_1_ABCD,A (δ13C coll),15,SVM,A,δ13C coll,0.6942410116747564,3.2556084375284504
combination_1_ABCD,A (δ13C coll),15,RandomForest,A,δ13C coll,0.6770417878787903,3.1948033394950683
combination_1_ABCD,A (δ13C coll),15,KNN,AB,δ13C coll_δ15N coll,0.7069995202020202,3.335219021201914
