Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE
combination_1_ABCD,A,10,KNN,A,δ13C coll,1.5504214285714286,8.50662473214552
combination_1_ABCD,A,10,SVM,A,δ13C coll,1.4078863769621404,7.646002892447901
combination_1_ABCD,A,10,RandomForest,A,δ13C coll,1.4509381904761955,8.457271483653685
combination_1_ABCD,A,10,RandomForest_MICE,A,δ13C coll,1.551169857142856,9.054926920707072
combination_1_ABCD,A,10,HybridKNN_RF,A,δ13C coll,1.4592438571428559,8.558380345693752
combination_1_ABCD,A,10,KNN,AB,δ13C coll_δ15N coll,1.5912171428571429,8.646076057120144
combination_1_ABCD,A,10,SVM,AB,δ13C coll_δ15N coll,1.4696583729843606,7.921664487367917
combination_1_ABCD,A,10,RandomForest,AB,δ13C coll_δ15N coll,1.4279941836734722,8.262365520748919
combination_1_ABCD,A,10,RandomForest_MICE,AB,δ13C coll_δ15N coll,1.4365071428571423,8.430548253057864
combination_1_ABCD,A,10,HybridKNN_RF,AB,δ13C coll_δ15N coll,1.5234334285714284,9.037070065636607
combination_1_ABCD,A,10,KNN,AC,δ13C coll_δ13C carb,1.7126757142857147,9.452266015903803
combination_1_ABCD,A,10,SVM,AC,δ13C coll_δ13C carb,1.70689897337903,8.949266172830306
combination_1_ABCD,A,10,RandomForest,AC,δ13C coll_δ13C carb,1.654097130952378,9.35927427375687
combination_1_ABCD,A,10,RandomForest_MICE,AC,δ13C coll_δ13C carb,1.3493991428571426,7.63846420718121
combination_1_ABCD,A,10,HybridKNN_RF,AC,δ13C coll_δ13C carb,1.4664371428571386,8.395693245125296
combination_1_ABCD,A,10,KNN,AD,δ13C coll_δ18O carb,1.4783157142857146,8.225518252489737
combination_1_ABCD,A,10,SVM,AD,δ13C coll_δ18O carb,1.4570985733861233,7.870494165114141
combination_1_ABCD,A,10,RandomForest,AD,δ13C coll_δ18O carb,1.3913063142857118,8.065239312549341
combination_1_ABCD,A,10,RandomForest_MICE,AD,δ13C coll_δ18O carb,1.4079937142857109,8.152555341133576
combination_1_ABCD,A,10,HybridKNN_RF,AD,δ13C coll_δ18O carb,1.4737584285714256,8.604561278294694
combination_1_ABCD,A,10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,1.6771285714285717,9.212688908504392
combination_1_ABCD,A,10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,1.5190656517475607,8.039156489327713
combination_1_ABCD,A,10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,1.4614647500000004,8.318060909756856
combination_1_ABCD,A,10,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,1.4488987142857117,8.403757265374477
combination_1_ABCD,A,10,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,1.5307922857142817,8.876334142761511
combination_1_ABCD,A,10,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,1.4819557142857147,8.111550753206393
combination_1_ABCD,A,10,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,1.4833238443877221,7.9881936845317085
combination_1_ABCD,A,10,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,1.453088083333333,8.37183184125404
combination_1_ABCD,A,10,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,1.40482671428571,8.27545756102301
combination_1_ABCD,A,10,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,1.4456058571428527,8.55708358441272
combination_1_ABCD,A,10,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,1.5061385714285715,8.127109439726757
combination_1_ABCD,A,10,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,1.6997660292516836,8.898220321554984
combination_1_ABCD,A,10,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,1.6422056904761877,9.198015720230684
combination_1_ABCD,A,10,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,1.452043428571428,8.268007718409017
combination_1_ABCD,A,10,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,1.46485914285714,8.338988167446699
combination_1_ABCD,A,10,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.6359442857142852,8.904957314857729
combination_1_ABCD,A,10,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.6152459016041996,8.556722790194346
combination_1_ABCD,A,10,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.6740347785714291,9.49120292422306
combination_1_ABCD,A,10,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.6201557142857148,9.459835542192808
combination_1_ABCD,A,10,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.59430814285714,9.21197412065717
combination_1_ABCD,A,15,KNN,A,δ13C coll,1.3749438095238096,7.76801802406636
combination_1_ABCD,A,15,SVM,A,δ13C coll,1.418720689012185,7.7532582801747125
combination_1_ABCD,A,15,RandomForest,A,δ13C coll,1.4963047380952448,8.88731419282487
combination_1_ABCD,A,15,RandomForest_MICE,A,δ13C coll,1.3997606666666664,8.276287864252033
combination_1_ABCD,A,15,HybridKNN_RF,A,δ13C coll,1.4380534285714281,8.53672578457463
combination_1_ABCD,A,15,KNN,AB,δ13C coll_δ15N coll,1.524054285714286,8.589233977983731
combination_1_ABCD,A,15,SVM,AB,δ13C coll_δ15N coll,1.5327355970013845,8.282024588573732
combination_1_ABCD,A,15,RandomForest,AB,δ13C coll_δ15N coll,1.4638425000000006,8.654204812057639
combination_1_ABCD,A,15,RandomForest_MICE,AB,δ13C coll_δ15N coll,1.4819624761904788,8.799273454609189
combination_1_ABCD,A,15,HybridKNN_RF,AB,δ13C coll_δ15N coll,1.494849619047619,8.800655536972695
combination_1_ABCD,A,15,KNN,AC,δ13C coll_δ13C carb,1.6999123809523808,9.540983693895042
combination_1_ABCD,A,15,SVM,AC,δ13C coll_δ13C carb,1.723782965610176,9.17464938616681
combination_1_ABCD,A,15,RandomForest,AC,δ13C coll_δ13C carb,1.429512380952389,8.342576855031727
combination_1_ABCD,A,15,RandomForest_MICE,AC,δ13C coll_δ13C carb,1.2044489523809518,6.867661568383502
combination_1_ABCD,A,15,HybridKNN_RF,AC,δ13C coll_δ13C carb,1.3980730476190484,8.29292564756263
combination_1_ABCD,A,15,KNN,AD,δ13C coll_δ18O carb,1.1634428571428572,6.644661110706854
combination_1_ABCD,A,15,SVM,AD,δ13C coll_δ18O carb,1.4660073851820912,7.998031046128693
combination_1_ABCD,A,15,RandomForest,AD,δ13C coll_δ18O carb,1.491686847619047,8.866011473735888
combination_1_ABCD,A,15,RandomForest_MICE,AD,δ13C coll_δ18O carb,1.4474645714285677,8.441295177166921
combination_1_ABCD,A,15,HybridKNN_RF,AD,δ13C coll_δ18O carb,1.4125545714285672,8.31907846074736
combination_1_ABCD,A,15,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,1.8262057142857144,10.393966795135594
combination_1_ABCD,A,15,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,1.67451823057311,8.900453169154298
combination_1_ABCD,A,15,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,1.5201553253968279,8.775265491968831
combination_1_ABCD,A,15,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,1.5636740952380954,9.283589644377539
combination_1_ABCD,A,15,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,1.4300236190476177,8.413421201031692
combination_1_ABCD,A,15,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,1.4316666666666669,8.090232272925636
combination_1_ABCD,A,15,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,1.6037086851714264,8.678281616377399
combination_1_ABCD,A,15,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,1.48327312698413,8.726956865319652
combination_1_ABCD,A,15,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,1.380308571428571,8.135319388026094
combination_1_ABCD,A,15,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,1.3303213333333321,7.767567060554848
combination_1_ABCD,A,15,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,1.6887971428571429,9.399089274658945
combination_1_ABCD,A,15,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,1.808556392641162,9.644024159711998
combination_1_ABCD,A,15,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,1.5203602380952428,8.709583323732664
combination_1_ABCD,A,15,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,1.3280392380952355,7.444726165970555
combination_1_ABCD,A,15,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,1.2890750476190458,7.495631798115431
combination_1_ABCD,A,15,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.7359190476190478,9.883757720541649
combination_1_ABCD,A,15,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.776802212605816,9.384380206152128
combination_1_ABCD,A,15,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.7533311507936489,9.897419769508375
combination_1_ABCD,A,15,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.6850168571428568,9.91311576141656
combination_1_ABCD,A,15,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.3807891428571444,8.01628401994948
combination_1_ABCD,A,20,KNN,A,δ13C coll,1.5021221289821292,8.820485677185761
combination_1_ABCD,A,20,SVM,A,δ13C coll,1.5433251632016876,8.965251738597782
combination_1_ABCD,A,20,RandomForest,A,δ13C coll,1.7277383545066065,10.485431096381397
combination_1_ABCD,A,20,RandomForest_MICE,A,δ13C coll,1.6463326216006209,9.972650963151322
combination_1_ABCD,A,20,HybridKNN_RF,A,δ13C coll,1.720001468531467,10.45475436242479
combination_1_ABCD,A,20,KNN,AB,δ13C coll_δ15N coll,1.6513293084693088,9.723278254237815
combination_1_ABCD,A,20,SVM,AB,δ13C coll_δ15N coll,1.6202070714203884,9.378710361831327
combination_1_ABCD,A,20,RandomForest,AB,δ13C coll_δ15N coll,1.7897623861693865,10.704439652516758
combination_1_ABCD,A,20,RandomForest_MICE,AB,δ13C coll_δ15N coll,1.7936821647241665,10.906191795059792
combination_1_ABCD,A,20,HybridKNN_RF,AB,δ13C coll_δ15N coll,1.729049543123543,10.535213596976531
combination_1_ABCD,A,20,KNN,AC,δ13C coll_δ13C carb,1.84077121989122,11.12743496397821
combination_1_ABCD,A,20,SVM,AC,δ13C coll_δ13C carb,1.8334243315198322,10.432081886198324
combination_1_ABCD,A,20,RandomForest,AC,δ13C coll_δ13C carb,1.6451211563066575,10.221526059224496
combination_1_ABCD,A,20,RandomForest_MICE,AC,δ13C coll_δ13C carb,1.7421331717171724,10.639874034977872
combination_1_ABCD,A,20,HybridKNN_RF,AC,δ13C coll_δ13C carb,1.6348817622377632,10.011529122505333
combination_1_ABCD,A,20,KNN,AD,δ13C coll_δ18O carb,1.413490038850039,8.375053470835182
combination_1_ABCD,A,20,SVM,AD,δ13C coll_δ18O carb,1.6783573822223605,9.764531454091912
combination_1_ABCD,A,20,RandomForest,AD,δ13C coll_δ18O carb,1.6569163245643197,10.067522554434849
combination_1_ABCD,A,20,RandomForest_MICE,AD,δ13C coll_δ18O carb,1.5973059829059815,9.950355647732405
combination_1_ABCD,A,20,HybridKNN_RF,AD,δ13C coll_δ18O carb,1.6955915244755233,10.463756045470724
combination_1_ABCD,A,20,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,1.8669123387723388,11.044660049974253
combination_1_ABCD,A,20,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,1.823820405449112,10.399714135435595
combination_1_ABCD,A,20,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,1.7608974637307142,10.687906597106153
combination_1_ABCD,A,20,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,1.9387614265734243,11.734565969938997
combination_1_ABCD,A,20,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,1.9921695369075358,12.308027017906033
combination_1_ABCD,A,20,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,1.7212607459207458,9.982683065351065
combination_1_ABCD,A,20,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,1.763404602536772,10.193734502586375
combination_1_ABCD,A,20,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,1.7365545957653477,10.372237897736424
combination_1_ABCD,A,20,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,1.8038402610722613,10.597096061934357
combination_1_ABCD,A,20,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,1.8514148515928532,10.875117045443863
combination_1_ABCD,A,20,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,1.8345360683760685,11.0159036469603
combination_1_ABCD,A,20,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,2.0238893084549807,11.434644654096584
combination_1_ABCD,A,20,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,1.6815113075628054,10.292930122022565
combination_1_ABCD,A,20,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,1.5401623574203598,9.138728267684304
combination_1_ABCD,A,20,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,1.578887749805752,9.673556200524859
combination_1_ABCD,A,20,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.6178168142968143,9.708037703563166
combination_1_ABCD,A,20,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.904312588434798,10.779940932633203
combination_1_ABCD,A,20,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.9568227499592965,11.739223222901165
combination_1_ABCD,A,20,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,2.1511111623931636,13.047504491634916
combination_1_ABCD,A,20,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,2.191874114996115,13.426896386041449
combination_1_ABCD,B,10,KNN,B,δ15N coll,1.4946457142857141,17.840338139681208
combination_1_ABCD,B,10,SVM,B,δ15N coll,1.9363221512014945,22.922770598435143
combination_1_ABCD,B,10,RandomForest,B,δ15N coll,1.9168136011904746,21.352297680623316
combination_1_ABCD,B,10,RandomForest_MICE,B,δ15N coll,1.8818034285714282,21.01214005675781
combination_1_ABCD,B,10,HybridKNN_RF,B,δ15N coll,1.9281385714285708,21.43826667721129
combination_1_ABCD,B,10,KNN,AB,δ13C coll_δ15N coll,0.013849999999999963,0.13512195121951182
combination_1_ABCD,B,10,SVM,AB,δ13C coll_δ15N coll,0.04515410480448754,0.4405278517510979
combination_1_ABCD,B,10,RandomForest,AB,δ13C coll_δ15N coll,0.06208750000000203,0.6057317073170929
combination_1_ABCD,B,10,RandomForest_MICE,AB,δ13C coll_δ15N coll,0.029935000000000045,0.2920487804878053
combination_1_ABCD,B,10,HybridKNN_RF,AB,δ13C coll_δ15N coll,0.03200500000000002,0.31224390243902456
combination_1_ABCD,B,10,KNN,BC,δ15N coll_δ13C carb,1.5386342857142856,18.291900399630673
combination_1_ABCD,B,10,SVM,BC,δ15N coll_δ13C carb,2.0050625535968933,23.641439721451246
combination_1_ABCD,B,10,RandomForest,BC,δ15N coll_δ13C carb,1.946282261904761,21.433321537955514
